hash,Suspicious_Scheduled_Task_Creation_Via_Masqueraded_XML_File,accesses_public_folder,accesses_recyclebin,anomalous_deletefile,antianalysis_tls_section,antiav_avast_libs,antiav_bullguard_libs,antiav_detectfile,antidebug_devices,antidebug_guardpages,antidebug_ntsetinformationthread,antidebug_setunhandledexceptionfilter,antidebug_windows,antisandbox_mouse_hook,antisandbox_restart,antisandbox_sboxie_libs,antisandbox_sleep,antisandbox_sunbelt_libs,antisandbox_suspend,antisandbox_unhook,antivm_checks_available_memory,antivm_display,antivm_generic_bios,antivm_generic_disk,antivm_generic_diskreg,antivm_generic_system,antivm_network_adapters,antivm_vbox_devices,antivm_vbox_keys,antivm_vmware_keys,api_spamming,asyncrat_mutex,bcdedit_command,binary_yara,clears_logs,cmdline_http_link,cmdline_long_string,cmdline_obfuscation,cmdline_process_discovery,cmdline_terminate,contains_pe_overlay,creates_suspended_process,createtoolhelp32snapshot_module_enumeration,credential_access_via_windows_credential_history,cryptopool_domains,dead_connect,deletes_executed_files,deletes_self,deletes_shadow_copies,detect_virtualization_via_recent_files,dll_load_uncommon_file_types,dotnet_code_compile,dotnet_csc_build,dropper,dynamic_function_loading,encrypt_pcinfo,encrypted_ioc,enumerates_physical_drives,enumerates_running_processes,explorer_http,generates_crypto_key,http_request,infostealer_bitcoin,infostealer_browser,infostealer_cookies,infostealer_ftp,infostealer_im,infostealer_keylog,infostealer_mail,injection_createremotethread,injection_runpe,injection_rwx,injection_write_exe_process,injection_write_process,ipc_namedpipe,language_check_registry,legitimate_domain_abuse,long_commandline,masquerade_process_name,mass_data_encryption,modify_desktop_wallpaper,modify_hostfile,modify_uac_prompt,mouse_movement_detect,multiple_useragents,neshta_files,neshta_mutexes,network_anomaly,network_bind,network_cnc_https_pastesite,network_cnc_https_socialmedia,network_dns_tunneling_request,network_fake_useragent,packer_entropy,packer_mpress,packer_themida,packer_unknown_pe_section_name,packer_vmprotect,pe_compile_timestomping,persistence_ads,persistence_autorun,persistence_autorun_tasks,physical_drive_access,polymorphic,potential_protocol_tunneling_via_legit_utilities,powershell_command_suspicious,powershell_renamed,process_creation_suspicious_location,process_interest,process_needed,procmem_yara,queries_computer_name,queries_keyboard_layout,queries_locale_api,queries_user_name,ransomware_extensions_known,ransomware_file_modifications,ransomware_files,reads_memory_remote_process,reads_password_database,reads_self,recon_beacon,recon_fingerprint,recon_systeminfo,registry_credential_store_access,removes_zoneid_ads,resumethread_remote_process,script_created_process,script_network_activity,script_tool_executed,spoofs_procname,spooler_svc_start,spreading_autoruninf,static_pe_anomaly,static_pe_pdbpath,stealth_file,stealth_timeout,stealth_window,suspicious_command_tools,suspicious_communication_trusted_site,suspicious_iocontrol_codes,suspicious_ping_use,terminates_remote_process,uiautomationcore_load,uses_remote_desktop_session,uses_windows_utilities,uses_windows_utilities_curl,uses_windows_utilities_to_create_scheduled_task,virus,warzonerat_files,windows_defender_powershell,wmic_command_suspicious
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416747297,0,0,0,0,0,0,0,0.452243827,0,0,0,0,0,0,0,0,0.385455633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377694344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311401614,0,0.199718999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233457778,0,0,0,0,0,0,0,0,0,0,0,0,0.285157083,0,0,0,0,0,0,0,0,0,0.240608414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0,0,0,0,0,0,0,0,0,0.325622431,0,0.216431607,0,0,0,0,0,0,0,0,0.32078655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48237666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227399957,0,0,0,0.224196799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280123506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455815029,0.351176131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0,0,0,0,0,0,0,0,0,0,0,0.185817142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414144004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409865247,0,0,0.446200325,0,0,0,0,0,0,0.195234008,0,0,0,0.19248394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295382217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240499759,0.313023748,0,0,0.329592843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0,0.384866368,0,0,0,0,0,0,0,0.200884187,0,0.133521782,0,0,0,0,0,0,0,0,0.197900817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275956146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492919271,0,0,0,0.140288417,0,0,0,0.138312313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313194489,0,0.367884382,0,0,0,0,0,0,0,0,0,0,0.224928057,0.198744996,0.161677584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216648869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0,0,0,0,0.564402576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389788263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198157494,0,0,0,0.195366246,0,0,0,0,0,0,0,0.409023575,0,0,0,0,0,0,0,0,0,0.252856321,0,0,0.299805349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280727456,0.228369709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0,0,0,0,0,0,0,0,0,0,0,0.289531699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460250945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350585387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361323554,0,0,0,0,0,0,0,0,0.671472738,0,0,0,0,0,0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0,0.399411785,0,0,0,0,0,0,0,0,0,0.138568028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308836511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590794752,0.332741631,0,0,0,0,0,0,0.145590397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185778752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179346086,0,0.20625625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29183071,0.224836771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0,0.409600567,0,0,0,0,0,0,0,0,0,0.142102824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293691015,0.251419171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605865612,0,0,0,0,0,0,0,0.14930433,0.291887213,0.229515971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18392111,0,0.211517737,0,0,0,0,0,0.238245196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0,0.548357757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199882994,0,0,0,0.19706744,0,0,0,0,0,0,0,0.412585236,0,0,0,0,0,0,0,0,0,0.255058122,0,0,0.30241597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283171951,0.230358288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400658267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440924404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407817391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39960584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329467215,0,0.211305463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247001558,0,0,0,0,0,0,0,0,0,0,0,0,0.301700138,0,0,0,0,0,0,0,0.330983472,0,0.25456703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ef2e70b47c26de37bcd3e806ea7c791876b1ebda407045e3a81f3bd8ea7c3ac,0,0,0,0,0,0,0,0,0,0.190031514,0,0.126308331,0,0,0,0,0,0,0,0,0.187209319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223474348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132709402,0.259444434,0.204005652,0,0.130840056,0,0,0,0,0,0,0.695269437,0,0,0,0,0,0,0,0,0,0,0.169342125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163478584,0,0.188007892,0.15294303,0,0,0,0,0.211764639,0,0,0,0,0,0,0,0.186812316,0,0,0,0,0,0,0,0.204944517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
