No,Action,D3FEND Tactic,D3FEND Technique,D3FEND Technique Level 0,D3FEND Technique Level 1,Definition
1,D3-APCA - Application Protocol Command Analysis,Detect,,Application Protocol Command Analysis,,Analyzing application protocol level remote commands to detect unauthorized activity.
2,D3-CSPP - Client-server Payload Profiling,Detect,,Client-server Payload Profiling,,Comparing client-server request and response payloads to a baseline profile to identify outliers.
3,D3-NTCD - Network Traffic Community Deviation,Detect,,Network Traffic Community Deviation,,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
4,D3-NTF - Network Traffic Filtering,Isolate,,Network Traffic Filtering,,Restricting network traffic originating from any location.
5,D3-NTSA - Network Traffic Signature Analysis,Detect,,Network Traffic Signature Analysis,,Analyzing network traffic and compares it to known signatures
6,D3-OTF - Outbound Traffic Filtering,Isolate,,,Outbound Traffic Filtering,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
7,D3-PHDURA - Per Host Download-Upload Ratio Analysis,Detect,,Per Host Download-Upload Ratio Analysis,,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
8,D3-PMAD - Protocol Metadata Anomaly Detection,Detect,,Protocol Metadata Anomaly Detection,,Collecting network communication protocol metadata and identifying statistical outliers.
9,D3-RPA - Relay Pattern Analysis,Detect,,Relay Pattern Analysis,,The detection of an internal host relaying traffic between the internal network and the external network.
10,D3-RTSD - Remote Terminal Session Detection,Detect,,Remote Terminal Session Detection,,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
11,D3-UGLPA - User Geolocation Logon Pattern Analysis,Detect,,User Geolocation Logon Pattern Analysis,,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
12,D3-CF - Content Filtering,Isolate,Content Filtering,,,
13,D3-CM - Content Modification,Isolate,,Content Modification,,Modify content that does not comply with policy.
14,D3-CQ - Content Quarantine,Isolate,,Content Quarantine,,Transfer content that does not comply with policy to a quarantine zone.
15,D3-DF - Decoy File,Deceive,,Decoy File,,A file created for the purposes of deceiving an adversary.
16,D3-FA - File Analysis,Detect,File Analysis,,,
17,D3-FE - File Encryption,Harden,,File Encryption,,Encrypting a file using a cryptographic key.
18,D3-FEV - File Eviction,Evict,,File Eviction,,File eviction techniques delete files from system storage.
19,D3-FIM - File Integrity Monitoring,Detect,,File Integrity Monitoring,,Detecting any suspicious changes to files in a computer system.
20,D3-LFP - Local File Permissions,Isolate,,Local File Permissions,,"Local file permissions is the systematic process of defining, implementing, and managing access control policies that dictate user permissions for accessing files on a local system through the configuration of operating system functionality."
21,D3-RF - Restore File,Restore,,Restore File,,Restoring a file for an entity to access.
22,D3-RFAM - Remote File Access Mediation,Isolate,,,Remote File Access Mediation,Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
23,D3-EAL - Executable Allowlisting,Isolate,,Executable Allowlisting,,Using a digital signature to authenticate a file before opening.
