target_id,dataset_id,similarity_type,similarity_score
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,0340043481091d92dcfb2c498aad3c0afca2fd208ef896f65af790cc147f8891,cosine,0.5796370342
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,8b87459483248d7b95424cd52b7d4f3031e89c6644adc2e167556e071d9ec3aa,cosine,0.5272133320
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,422ba689937e3748a4b6bd3c5af2dce0211e8a48eb25767e6d1d2192d27f1f58,cosine,0.5133885986
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,97fc228c23bde829b5889b11c06d4bb0d9859e35d99e6b2e7e34cfb84c1eba15,cosine,0.5117406299
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,67fae5a52c5920f4eabb29229eaf5ce35572f4be29f1477ec2355a13776058fb,cosine,0.4898471529
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,7c90795c9b28fac978386626f5a54033dc9cba46ef6a3f742fc7d52b394590f2,cosine,0.4763704094
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,fb73a819b37523126c7708a1d06f3b8825fa60c926154ab2d511ba668f49dc4b,cosine,0.4743022606
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,cdbed3a79d37d581fc5be268df61e13aaafa5c88a001f4e8b298d77c4b37ae13,cosine,0.4335601692
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,9343339fadfe0f62d6fd46c6131ed9fdf01978d817192984e69a8bbecfb406d2,cosine,0.4306671987
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,2026f682ca7fd084053865abf7f6a09d28296d469631ee635139cfe941e984cc,cosine,0.4167311266
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,160ffdb97712c84d3e7dca1e26924d48cd92afb6c21665df8912cae81cc91d9b,cosine,0.4095844160
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,3b2e708eaa4744c76a633391cf2c983f4a098b46436525619e5ea44e105355fe,cosine,0.3768966390
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,e6986e80395ec6fb4fc2450dd4de5ea81ba8d489a1464a1108a98f6541967af6,cosine,0.3701892601
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,f1fe80a633a1cd5361e637c748ada6d0cfebc7e07f058f60b3dce6067cc91c99,cosine,0.3596139330
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,daae55e6fe5fc898a9f035641df40bec187bcdd5c766549d570e2de07bff0a06,cosine,0.3574525197
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,58b525579968cba0c68e8f7ae12e51e0b5542acc2c14a2e75fa6df44556e373f,cosine,0.3468591137
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,973e8ee15e00b702b03fa42e45cce60344dbe7dbc7d3213a81a53623c303ff5c,cosine,0.3398553551
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,cosine,0.3305703148
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,9e1467ab8e370a976c0274bc5a901b0beab5864683a14c018d15d07cc7dd7720,cosine,0.3183119216
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,e248b01e3ccde76b4d8e8077d4fcb4d0b70e5200bf4e738b45a0bd28fbc2cae6,cosine,0.3182532142
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,2ee076dac5df5fe560093b56afe32431838e041e275b378b69198860cd290d11,cosine,0.3110944955
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,9ca18641bc6b48708e4314b3f8275860aef6b9ea16cd6230d781f0abaa84c853,cosine,0.3099024245
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,ef25f37fb988e1e041e5dbbd6f30aac3918e540fc253964b054fc1ec6e45b6a2,cosine,0.3095603298
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,3c34c23aef8934651937c31be7420d2fc8a22ca260f5afdda0f08f4d3730ae59,cosine,0.3004810845
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,5a96b929383817aa298eec8cca019bcd984fcd71dd8ee353541392c1082756a4,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,6b7d70ca7d02133afbc24eeb585f2921bc35c01b23b90a66f515290c49cf0952,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,7c2a9bae3bbdc9e38516754d76a192d6a3ce37849c06a8a8d3b06fb7f75916c1,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,7d9c97a133997396b0625a5d2b762fb8b333f5152d4dd893c7a463cc41372ab5,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,33d32078ebe0c9429e405fdeb347dfb1ba5543e61d1179d13edffc7943b57640,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,34e1a82f7334c825aab19a21d94361c3225ee8ad9a2027830aeea7d82f59ca15,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,55c30024aed833336eb4720a1a4a40c78496efb27b3c4d5c3f1d1b5935c12715,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,62b096449d5dc6f876c43e48d1c27a63de0f75e70279f811b5c6ba18f9126f7b,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,64cc071973e05ae577f32bab349fafb4dba96ba9b8cab272aa5cd9d6074e5a39,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,71b46e95fba31267475537a338f49ce1cd0bc56c0f15346b05b673051cbe90a8,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,84ad231f0d74cd4bed8da0fbfc6801fc77424ee74a560e0d3175aa37b4ecab23,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,161c471b0aaaf0d7c1f0267ebb837e10fb8c5edfe09b0d00bf2472820f413713,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,231bba5652f6fbdbab3016362fb7925fc4e4489fff5e6a4a98c37fba5bd0cfe9,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,0b4c743246478a6a8c9fa3ff8e04f297507c2f0ea5d61a1284fe65387d172f81,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,928aca01498ca60e1dd3e263c462f3a04ef49b91d94b566293e8edfbc54fcf13,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,8710ad8fb2938326655335455987aa17961b2496a345a7ed9f4bbfcb278212bc,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,9704a4959ec0edb5b82732944be3665e80ed974dec17ab401545ee21069da08d,cosine,0.3000967728
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,16bd868c6c2200864825de71892e8802f0f7f243f476dcd38e9d713bb0a5ee44,cosine,0.3000678745
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,af56dead22b6e7c4b7da2ba58d1fd896a71fe52cd96a958abb856a2ae7bc17f7,cosine,0.2851930668
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,337ba1bd5050c38f5e07f494d4dc0125276b0e0dea09667d86e7d763249c8f30,cosine,0.2835516086
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,340a639e1ec7cb2afa90a2aba177b368e13efc4dd1313e32af30b6ceb259f7d3,cosine,0.2816743908
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,f8b823dc5519d25ef2599725c25306171a8496069b1ba56cb854323ae98d10d1,cosine,0.2806115263
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,062de0a9fa284c56323ccaa5cf9b4a70801234b129744e1def53b29a7a86b8cd,cosine,0.2692345934
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,cce241c912bf0c1da1af3a33e6fd7b603d20e578ee9817a92743f611d56a528e,cosine,0.2653060630
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,3d7cf20ca6476e14e0a026f9bdd8ff1f26995cdc5854c3adb41a6135ef11ba83,cosine,0.2634122704
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,f5d002bfe80b48386a6c99c41528931b7f5df736cd34094463c3f85dde0180bf,cosine,0.2577818633
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,87bde727af7beabcb4d733a41d258ee407d6e977e78c06a96ba2295431d53c23,cosine,0.2554498205
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,0017e2bb45469ea5f02edab017f77b7242c9a3330478c748e7e8380149ded601,cosine,0.2471659819
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,0b58a2bed7d9d44e29ad6988250456c49863a23adeb9b5ab59763352187104b3,cosine,0.2406154367
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,a0ff457b92f9248dd442a8759232c128de720e5caddd542ea338fa42f46941e5,cosine,0.2360117775
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,a1220eb6311115d3a4a6cbf77665fb444a54f9d715ee0e5c9651459222118c95,cosine,0.2357734354
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,34c1121937c35b39b654428cf3fc6b16e3e2eed03c1ccbcfc77183d1749ebadc,cosine,0.2333086531
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,4d2f6e63d4fd2ff4c068535d0d8b1ceafb75eecb0c31cea637dfb1727cb695cf,cosine,0.2287621068
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,00515fe91a6b40d5c5ae851cb18d31c675ff38901edd352b3e6379087d5f2b26,cosine,0.2270506164
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,3e49fe819025e4a6e061584f1a596f535d8c7dae935a079121ef19e0c11b3e60,cosine,0.2270506164
44ffe36dad598708138873097f1da36e949a8ef60f1f6402c494bb6391424c10,9474ca0fa771bd4dd2202e312ada0090f6890635b9039b5be855cc7cb8eab6ee,cosine,0.2179173107
